Express_ID	GeneID	SwissProtID	GeneName	Des
ENST00000000412	ENSG00000003056	P20645	M6PR	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]
ENST00000000442	ENSG00000173153	P11474	ESRRA	estrogen related receptor alpha [Source:HGNC Symbol;Acc:HGNC:3471]
ENST00000001008	ENSG00000004478	Q02790	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]
ENST00000001146	ENSG00000003137	Q9NR63	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]
ENST00000002125	ENSG00000003509	Q7L592	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]
ENST00000002165	ENSG00000001036	Q9BTY2	FUCA2	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]
ENST00000002596	ENSG00000002587	O14792	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]
ENST00000002829	ENSG00000001617	Q13275	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]
ENST00000003084	ENSG00000001626	P13569	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]
ENST00000003100	ENSG00000001630		CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]
ENST00000003302	ENSG00000048028	Q96RU2	USP28	ubiquitin specific peptidase 28 [Source:HGNC Symbol;Acc:HGNC:12625]
ENST00000003583	ENSG00000001460	Q5TH74	STPG1	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]
ENST00000004103	ENSG00000002933	Q96HP8	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]
ENST00000004531	ENSG00000003989	P52569	SLC7A2	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]
ENST00000004980				
ENST00000005082	ENSG00000005801	O14628	ZNF195	zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]
ENST00000005178	ENSG00000004799	Q16654	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]
ENST00000005226	ENSG00000006611	Q9Y6N9	USH1C	USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]
ENST00000005259	ENSG00000075790	Q9UHQ4	BCAP29	B cell receptor associated protein 29 [Source:HGNC Symbol;Acc:HGNC:24131]
ENST00000005260	ENSG00000006453	Q9UHR4	BAIAP2L1	BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]
ENST00000005286	ENSG00000006118	Q24JP5	TMEM132A	transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]
ENST00000005340	ENSG00000004975	O14641	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]
ENST00000005386	ENSG00000005175	Q9H6T3	RPAP3	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]
ENST00000005558	ENSG00000006652	O00458	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]
ENST00000005756	ENSG00000007001	O95045	UPP2	uridine phosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:23061]
ENST00000005995	ENSG00000007038	Q9Y6M0	PRSS21	serine protease 21 [Source:HGNC Symbol;Acc:HGNC:9485]
ENST00000006015	ENSG00000005073	P31270	HOXA11	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]
ENST00000006053	ENSG00000006210	P78423	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]
ENST00000006101				
ENST00000006251	ENSG00000186654	P85299	PRR5	proline rich 5 [Source:HGNC Symbol;Acc:HGNC:31682]
ENST00000006275	ENSG00000007255	O75865	TRAPPC6A	trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:HGNC:23069]
ENST00000006658	ENSG00000006282	Q8TB22	SPATA20	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]
ENST00000006724	ENSG00000007306	Q14002	CEACAM7	CEA cell adhesion molecule 7 [Source:HGNC Symbol;Acc:HGNC:1819]
ENST00000006750	ENSG00000007312	P40259	CD79B	CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]
ENST00000006777	ENSG00000005486	Q6NTF9	RHBDD2	rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]
ENST00000006967				
ENST00000007264	ENSG00000007376	Q9UJJ7	RPUSD1	RNA pseudouridine synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]
ENST00000007390	ENSG00000007520	Q9UJK0	TSR3	TSR3 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]
ENST00000007414	ENSG00000006025	Q9BZF2	OSBPL7	oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]
ENST00000007510	ENSG00000004777		ARHGAP33	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]
ENST00000007633				
ENST00000007660				
ENST00000007699	ENSG00000006047	Q9Y2T7	YBX2	Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]
ENST00000007708	ENSG00000005882	Q15119	PDK2	pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]
ENST00000007722	ENSG00000005884	P26006	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]
ENST00000007735	ENSG00000006059	O76009	KRT33A	keratin 33A [Source:HGNC Symbol;Acc:HGNC:6450]
ENST00000007969	ENSG00000010626	Q53EV4	LRRC23	leucine rich repeat containing 23 [Source:HGNC Symbol;Acc:HGNC:19138]
ENST00000008180	ENSG00000008517	P24001	IL32	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]
ENST00000008391	ENSG00000008197	Q7Z6R9	TFAP2D	transcription factor AP-2 delta [Source:HGNC Symbol;Acc:HGNC:15581]
ENST00000008440	ENSG00000010072	Q9H040	SPRTN	SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]
ENST00000008527	ENSG00000008405	Q16526	CRY1	cryptochrome circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:2384]
ENST00000008876				
ENST00000008938	ENSG00000008438	O75594	PGLYRP1	peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]
ENST00000009105	ENSG00000008118	Q96NX5	CAMK1G	calcium/calmodulin dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585]
ENST00000009530	ENSG00000019582	P04233	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]
ENST00000009589	ENSG00000008988	P60866	RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]
ENST00000010132	ENSG00000010219	Q9NR20	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4 [Source:HGNC Symbol;Acc:HGNC:3095]
ENST00000010299	ENSG00000009780	Q8TAV0	FAM76A	family with sequence similarity 76 member A [Source:HGNC Symbol;Acc:HGNC:28530]
ENST00000010338				
ENST00000011292	ENSG00000091704	P15085	CPA1	carboxypeptidase A1 [Source:HGNC Symbol;Acc:HGNC:2296]
ENST00000011473	ENSG00000008282	Q16563	SYPL1	synaptophysin like 1 [Source:HGNC Symbol;Acc:HGNC:11507]
ENST00000011619	ENSG00000010017	Q96S59	RANBP9	RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727]
ENST00000011653	ENSG00000010610	P01730	CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]
ENST00000011684	ENSG00000008323	Q3KR16	PLEKHG6	pleckstrin homology and RhoGEF domain containing G6 [Source:HGNC Symbol;Acc:HGNC:25562]
ENST00000011898	ENSG00000011105	O75954	TSPAN9	tetraspanin 9 [Source:HGNC Symbol;Acc:HGNC:21640]
ENST00000011989	ENSG00000186115		CYP4F2	cytochrome P450 family 4 subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:2645]
ENST00000012049	ENSG00000011478	Q9NXS2	QPCTL	glutaminyl-peptide cyclotransferase like [Source:HGNC Symbol;Acc:HGNC:25952]
ENST00000012134	ENSG00000010818	P31629	HIVEP2	HIVEP zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4921]
ENST00000013034	ENSG00000239672	P15531	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]
ENST00000013070	ENSG00000012963	Q8N806	UBR7	ubiquitin protein ligase E3 component n-recognin 7 (putative) [Source:HGNC Symbol;Acc:HGNC:20344]
ENST00000013125	ENSG00000012983	Q9Y4K4	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6867]
ENST00000013222	ENSG00000241644	O95050	INMT	indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:6069]
ENST00000014914	ENSG00000013588	Q8NFJ5	GPRC5A	G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]
ENST00000014930	ENSG00000013583	Q9NRV9	HEBP1	heme binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17176]
ENST00000016171	ENSG00000014919	Q7KZN9	COX15	cytochrome c oxidase assembly homolog COX15 [Source:HGNC Symbol;Acc:HGNC:2263]
ENST00000016913	ENSG00000071203	Q9NXJ0	MS4A12	membrane spanning 4-domains A12 [Source:HGNC Symbol;Acc:HGNC:13370]
ENST00000017003	ENSG00000015532	Q9H1B5	XYLT2	xylosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15517]
ENST00000019103	ENSG00000080293	P47872	SCTR	secretin receptor [Source:HGNC Symbol;Acc:HGNC:10608]
ENST00000019317	ENSG00000017797	Q15311	RALBP1	ralA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9841]
ENST00000020673	ENSG00000059915	A5PKW4	PSD	pleckstrin and Sec7 domain containing [Source:HGNC Symbol;Acc:HGNC:9507]
ENST00000020926	ENSG00000019505	Q7L8C5	SYT13	synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962]
ENST00000020945	ENSG00000019549	O43623	SNAI2	snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]
ENST00000023064	ENSG00000021488	P82251	SLC7A9	solute carrier family 7 member 9 [Source:HGNC Symbol;Acc:HGNC:11067]
ENST00000023897	ENSG00000022355	P14867	GABRA1	gamma-aminobutyric acid type A receptor alpha1 subunit [Source:HGNC Symbol;Acc:HGNC:4075]
ENST00000023939	ENSG00000022277		RTF2	replication termination factor 2 [Source:HGNC Symbol;Acc:HGNC:15890]
ENST00000024061	ENSG00000022567	Q5BKX6	SLC45A4	solute carrier family 45 member 4 [Source:HGNC Symbol;Acc:HGNC:29196]
ENST00000025008	ENSG00000023287	Q8TDY2	RB1CC1	RB1 inducible coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:15574]
ENST00000025301	ENSG00000023516	Q9UKA4	AKAP11	A-kinase anchoring protein 11 [Source:HGNC Symbol;Acc:HGNC:369]
ENST00000025469				
ENST00000026218	ENSG00000007541	Q9BRB3	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]
ENST00000027335	ENSG00000079112	Q12864	CDH17	cadherin 17 [Source:HGNC Symbol;Acc:HGNC:1756]
ENST00000028008	ENSG00000026297		RNASET2	ribonuclease T2 [Source:HGNC Symbol;Acc:HGNC:21686]
ENST00000029410	ENSG00000027847	Q9UBV7	B4GALT7	beta-1,4-galactosyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:930]
ENST00000031135				
ENST00000031146	ENSG00000029364		SLC39A9	solute carrier family 39 member 9 [Source:HGNC Symbol;Acc:HGNC:20182]
ENST00000033079	ENSG00000031003	Q9NYF5	FAM13B	family with sequence similarity 13 member B [Source:HGNC Symbol;Acc:HGNC:1335]
ENST00000034275	ENSG00000031823	Q9H6Z4	RANBP3	RAN binding protein 3 [Source:HGNC Symbol;Acc:HGNC:9850]
ENST00000035307	ENSG00000033100	Q9P2E5	CHPF2	chondroitin polymerizing factor 2 [Source:HGNC Symbol;Acc:HGNC:29270]
ENST00000035383				
ENST00000037502	ENSG00000034971	Q99972	MYOC	myocilin [Source:HGNC Symbol;Acc:HGNC:7610]
ENST00000037869	ENSG00000035141	Q96C01	FAM136A	family with sequence similarity 136 member A [Source:HGNC Symbol;Acc:HGNC:25911]
ENST00000038176	ENSG00000035681	Q92636	NSMAF	neutral sphingomyelinase activation associated factor [Source:HGNC Symbol;Acc:HGNC:8017]
ENST00000039989	ENSG00000052841	Q96AE7	TTC17	tetratricopeptide repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:25596]
ENST00000040663	ENSG00000037757	Q9BV20	MRI1	methylthioribose-1-phosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:28469]
ENST00000040738	ENSG00000038219	Q8NFC6	BOD1L1	biorientation of chromosomes in cell division 1 like 1 [Source:HGNC Symbol;Acc:HGNC:31792]
ENST00000040877	ENSG00000059588	Q13395	TARBP1	TAR (HIV-1) RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11568]
ENST00000042381	ENSG00000039523	Q6ZS17	RIPOR1	RHO family interacting cell polarization regulator 1 [Source:HGNC Symbol;Acc:HGNC:25836]
ENST00000042931	ENSG00000039987	Q8NFU1	BEST2	bestrophin 2 [Source:HGNC Symbol;Acc:HGNC:17107]
ENST00000043402	ENSG00000040608	Q9BZR6	RTN4R	reticulon 4 receptor [Source:HGNC Symbol;Acc:HGNC:18601]
ENST00000045083	ENSG00000042062	Q96MK2	RIPOR3	RIPOR family member 3 [Source:HGNC Symbol;Acc:HGNC:16168]
ENST00000045347	ENSG00000042317			spermatogenesis associated 7 [Source:NCBI gene;Acc:55812]
ENST00000046087	ENSG00000042813	Q9BS86	ZPBP	zona pellucida binding protein [Source:HGNC Symbol;Acc:HGNC:15662]
ENST00000046640	ENSG00000040531	O60931	CTNS	cystinosin, lysosomal cystine transporter [Source:HGNC Symbol;Acc:HGNC:2518]
ENST00000050961				
ENST00000052569	ENSG00000047932	Q9HD26	GOPC	golgi associated PDZ and coiled-coil motif containing [Source:HGNC Symbol;Acc:HGNC:17643]
ENST00000053243	ENSG00000048462	Q02223	TNFRSF17	TNF receptor superfamily member 17 [Source:HGNC Symbol;Acc:HGNC:11913]
ENST00000053468	ENSG00000048544	P82664	MRPS10	mitochondrial ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:14502]
ENST00000053469	ENSG00000287363		GUCA1A	guanylate cyclase activator 1A [Source:HGNC Symbol;Acc:HGNC:4678]
ENST00000053867	ENSG00000030582	P28799	GRN	granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]
ENST00000054650	ENSG00000041988	Q8WTV1	THAP3	THAP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20855]
ENST00000054668	ENSG00000049247	O95399	UTS2	urotensin 2 [Source:HGNC Symbol;Acc:HGNC:12636]
ENST00000054950	ENSG00000049449	Q15293	RCN1	reticulocalbin 1 [Source:HGNC Symbol;Acc:HGNC:9934]
ENST00000055077	ENSG00000049541	P35250	RFC2	replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]
ENST00000055335	ENSG00000049769	Q6ZSY5	PPP1R3F	protein phosphatase 1 regulatory subunit 3F [Source:HGNC Symbol;Acc:HGNC:14944]
ENST00000056217	ENSG00000050327	Q12774	ARHGEF5	Rho guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:13209]
ENST00000056233	ENSG00000050344	Q9Y4A8	NFE2L3	nuclear factor, erythroid 2 like 3 [Source:HGNC Symbol;Acc:HGNC:7783]
ENST00000057513	ENSG00000050730	Q96KP6	TNIP3	TNFAIP3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:19315]
ENST00000060969	ENSG00000052723	Q9BRV8	SIKE1	suppressor of IKBKE 1 [Source:HGNC Symbol;Acc:HGNC:26119]
ENST00000061240	ENSG00000038295	O43897	TLL1	tolloid like 1 [Source:HGNC Symbol;Acc:HGNC:11843]
ENST00000064724	ENSG00000013297	O75508	CLDN11	claudin 11 [Source:HGNC Symbol;Acc:HGNC:8514]
ENST00000064780	ENSG00000054967	Q969Z4	RELT	RELT TNF receptor [Source:HGNC Symbol;Acc:HGNC:13764]
ENST00000066544	ENSG00000004897	P30260	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]
ENST00000070846	ENSG00000057294	Q99959	PKP2	plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]
ENST00000072516	ENSG00000196083	Q9NPH3	IL1RAP	interleukin 1 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5995]
ENST00000072644	ENSG00000058799	Q9Y548	YIPF1	Yip1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:25231]
ENST00000072869	ENSG00000133597	Q7Z695	ADCK2	aarF domain containing kinase 2 [Source:HGNC Symbol;Acc:HGNC:19039]
ENST00000074304	ENSG00000040933	Q96PE3	INPP4A	inositol polyphosphate-4-phosphatase type I A [Source:HGNC Symbol;Acc:HGNC:6074]
ENST00000075120	ENSG00000059804	P11169	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]
ENST00000075322	ENSG00000136960	Q13822	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:3357]
ENST00000075430	ENSG00000060069	Q9Y5B0	CTDP1	CTD phosphatase subunit 1 [Source:HGNC Symbol;Acc:HGNC:2498]
ENST00000075503	ENSG00000060140	Q6J9G0	STYK1	serine/threonine/tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:18889]
ENST00000078445	ENSG00000060566	Q68CJ9	CREB3L3	cAMP responsive element binding protein 3 like 3 [Source:HGNC Symbol;Acc:HGNC:18855]
ENST00000078527	ENSG00000060642	Q9NUD9	PIGV	phosphatidylinositol glycan anchor biosynthesis class V [Source:HGNC Symbol;Acc:HGNC:26031]
ENST00000080059	ENSG00000061273	Q8WUI4	HDAC7	histone deacetylase 7 [Source:HGNC Symbol;Acc:HGNC:14067]
ENST00000081029	ENSG00000061794	P82673	MRPS35	mitochondrial ribosomal protein S35 [Source:HGNC Symbol;Acc:HGNC:16635]
ENST00000082259				
ENST00000083182	ENSG00000062725	Q92624	APPBP2	amyloid beta precursor protein binding protein 2 [Source:HGNC Symbol;Acc:HGNC:622]
ENST00000084798	ENSG00000063180	O75493	CA11	carbonic anhydrase 11 [Source:HGNC Symbol;Acc:HGNC:1370]
ENST00000085068	ENSG00000063241	Q96AB3	ISOC2	isochorismatase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26278]
ENST00000085079	ENSG00000063245	Q9Y6I3	EPN1	epsin 1 [Source:HGNC Symbol;Acc:HGNC:21604]
ENST00000085219	ENSG00000012124	P20273	CD22	CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643]
ENST00000086933	ENSG00000063515	O15499	GSC2	goosecoid homeobox 2 [Source:HGNC Symbol;Acc:HGNC:4613]
ENST00000155093	ENSG00000067646	P08048	ZFY	zinc finger protein Y-linked [Source:HGNC Symbol;Acc:HGNC:12870]
ENST00000155674	ENSG00000069998	Q9BXW7	HDHD5	haloacid dehalogenase like hydrolase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:1843]
ENST00000155840	ENSG00000053918	P51787	KCNQ1	potassium voltage-gated channel subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:6294]
ENST00000155858	ENSG00000070985	Q9NZQ8	TRPM5	transient receptor potential cation channel subfamily M member 5 [Source:HGNC Symbol;Acc:HGNC:14323]
ENST00000155926	ENSG00000071575	Q92519	TRIB2	tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809]
ENST00000156084	ENSG00000068308	Q96G74	OTUD5	OTU deubiquitinase 5 [Source:HGNC Symbol;Acc:HGNC:25402]
ENST00000156109	ENSG00000068394	Q92917	GPKOW	G-patch domain and KOW motifs [Source:HGNC Symbol;Acc:HGNC:30677]
ENST00000156471	ENSG00000021776	O60306	AQR	aquarius intron-binding spliceosomal factor [Source:HGNC Symbol;Acc:HGNC:29513]
ENST00000156499	ENSG00000129437		KLK14	kallikrein related peptidase 14 [Source:HGNC Symbol;Acc:HGNC:6362]
